Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""2000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.000.000 TL</strong>",8 Aralık 2024,150,,,,8,Giriş Katı,5,,Kombi (Doğalgaz),,,Kiracılı,Hayır,,,,,,,,,Ankara
"<strong content=""7000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.000.000 TL</strong>",8 Aralık 2024,90,100m²,3+1,1,3,Bahçe katı,,Sıfır,Kombi (Doğalgaz),25.000  TL  (aylık),,Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""5450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.450.000 TL</strong>",8 Aralık 2024,115,125m²,3+1,2,5,5,,Sıfır,Kombi (Doğalgaz),35.000  TL  (aylık),200  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.200.000 TL</strong>",8 Aralık 2024,125,135m²,3+1,1,5,3,6-10 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">350.000 TL</strong>",10 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""5050000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.050.000 TL</strong>",8 Aralık 2024,90,100m²,2+1,1,10-20 arası,8,21-25 arası,,Merkezi Sistem,,1.500  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",8 Aralık 2024,105,112m²,2+1,1,4,4,,,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""7600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.600.000 TL</strong>",8 Aralık 2024,75,90m²,2+1,1,4,1,,Sıfır,Kombi (Doğalgaz),45.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""13000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.000.000 TL</strong>",8 Aralık 2024,205,250m²,4+1,3,20 ve üzeri,19,,,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Hayır,,,,,,,,,Ankara
"<strong content=""2840000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.840.000 TL</strong>",7 Aralık 2024,110,120m²,4+1,1,3,3,26-30 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.400.000 TL</strong>",7 Aralık 2024,150,180m²,3+1,1,2,,26-30 arası,İkinci El,Kat Kaloriferi,25.000  TL  (aylık),1  TL  (aylık),Boş,Evet,,,,,,,,Giriş Kat,Ankara
"<strong content=""25750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">25.750.000 TL</strong>",7 Aralık 2024,250,,,,2,Zemin Kat,5,,Kombi (Doğalgaz),,1  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.450.000 TL</strong>",7 Aralık 2024,90,108m²,10 ve üzeri,1,6,1,31-35 arası,,Kombi (Doğalgaz),20.000  TL  (aylık),250  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.100.000 TL</strong>",7 Aralık 2024,,,,,2,Giriş Katı,26-30 arası,,Kombi (Doğalgaz),15.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.100.000 TL</strong>",7 Aralık 2024,85,90m²,3+1,1,2,Giriş Katı,26-30 arası,,Kombi (Doğalgaz),15.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""8400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.400.000 TL</strong>",7 Aralık 2024,146,164m²,4+1,2,10-20 arası,6,0,Sıfır,Merkezi Sistem,0  TL  (aylık),0  TL  (aylık),Boş,Hayır,,,,,,,2,,Ankara
"<strong content=""3495000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.495.000 TL</strong>",7 Aralık 2024,120,130m²,3+1,1,10,1,26-30 arası,İkinci El,Merkezi Sistem,,1.500  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""9200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.200.000 TL</strong>",7 Aralık 2024,165,200m²,4+1,3,10-20 arası,3,,,Merkezi Sistem (Isı Payı Ölçer),,2  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""3300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.300.000 TL</strong>",7 Aralık 2024,115,125m²,3+1,1,3,2,,,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""3145000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.145.000 TL</strong>",7 Aralık 2024,125,140m²,3+1,1,3,3,16-20 arası,,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""3480000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.480.000 TL</strong>",7 Aralık 2024,150,160m²,4+1,2,4,4,11-15 arası,,Kombi (Doğalgaz),,1  TL  (aylık),Mülk Sahibi,Hayır,,,,,,,,,Ankara
"<strong content=""12900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.900.000 TL</strong>",7 Aralık 2024,360,400m²,5+1,3,4,Bahçe katı,,,Kombi (Doğalgaz),,,Boş,Hayır,,,,,,,,,Ankara
"<strong content=""4150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.150.000 TL</strong>",7 Aralık 2024,125,140m²,3+1,2,9,1,,,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""3750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.750.000 TL</strong>",7 Aralık 2024,140,180m²,3+1,2,5,Çatı Katı,11-15 arası,,Merkezi Sistem,,,Boş,Hayır,,,,,,,,,Ankara
"<strong content=""3399000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.399.000 TL</strong>",7 Aralık 2024,120,130m²,3+1,1,3,3,11-15 arası,,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""3400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.400.000 TL</strong>",7 Aralık 2024,80,85m²,2+1,1,7,1,,,Merkezi Sistem,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""2450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.450.000 TL</strong>",7 Aralık 2024,35,65m²,1+1,1,2,Zemin Kat,,,Merkezi Sistem,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""1630000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.630.000 TL</strong>",7 Aralık 2024,50,55m²,1+1,1,5,2,,,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""4250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.250.000 TL</strong>",7 Aralık 2024,120,140m²,3+1,1,5,Kot 1,26-30 arası,,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""2875000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.875.000 TL</strong>",7 Aralık 2024,80,85m²,2+1,1,7,1,,New Building,Combi Boiler (Natural Gas),15.000  TL  (aylık),,Vacant,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",7 Aralık 2024,75,90m²,2+1,1,1,Bahçe katı,4,,Soba (Kömür),,,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""13150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.150.000 TL</strong>",7 Aralık 2024,205,240m²,4+1,2,10-20 arası,11,5,,Merkezi Sistem,,2  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""6950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.950.000 TL</strong>",7 Aralık 2024,74,80m²,2+1,1,4,Kot 1,,Sıfır,Kombi (Doğalgaz),35.000  TL  (aylık),300  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""1925000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.925.000 TL</strong>",7 Aralık 2024,85,95m²,2+1,1,6,Zemin Kat,16-20 arası,,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""6150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.150.000 TL</strong>",7 Aralık 2024,100,115m²,3+1,2,10-20 arası,1,,,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""5200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.200.000 TL</strong>",6 Aralık 2024,190,220m²,4+1,2,10-20 arası,Ara Kat,6-10 arası,İkinci El,Kombi (Doğalgaz),25.000  TL  (aylık),500  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.750.000 TL</strong>",7 Aralık 2024,90,95m²,2+1,1,3,1,16-20 arası,İkinci El,Kombi (Doğalgaz),,250  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""15500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">15.500.000 TL</strong>",6 Aralık 2024,953,,,,1,1,16-20 arası,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Hayır,,,,,,,3,,Ankara
"<strong content=""8500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.500.000 TL</strong>",6 Aralık 2024,165,185m²,3+1,2,10-20 arası,4,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Hayır,,,,,,,4,,Ankara
"<strong content=""2550000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.550.000 TL</strong>",7 Aralık 2024,65,73m²,2+1,2,4,2,,,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3949000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.949.000 TL</strong>",6 Aralık 2024,130,140m²,3+1,2,2,1,16-20 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4749000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.749.000 TL</strong>",6 Aralık 2024,160,180m²,4+1,2,4,4,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.150.000 TL</strong>",6 Aralık 2024,130,135m²,3+1,1,3,Yüksek Giriş,11-15 arası,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""12000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.000.000 TL</strong>",6 Aralık 2024,170,199m²,4+1,2,9,3,11-15 arası,İkinci El,Kombi (Doğalgaz),45.000  TL  (aylık),1.100  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""14000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">14.000.000 TL</strong>",6 Aralık 2024,147,196m²,4+1,2,3,3,,Sıfır,Kombi (Doğalgaz),50.000  TL  (aylık),300  TL  (aylık),Boş,Evet,,,,,,,,Çatı Dubleksi,Ankara
"<strong content=""12750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.750.000 TL</strong>",6 Aralık 2024,152,179m²,4+1,2,10-20 arası,Ara Kat,11-15 arası,,Merkezi Sistem,60.000  TL  (aylık),,Boş,Evet,,,,,,,,,Ankara
"<strong content=""3490000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.490.000 TL</strong>",6 Aralık 2024,80,90m²,2+1,1,3,Yüksek Giriş,26-30 arası,Sıfır,Kombi (Doğalgaz),30.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.900.000 TL</strong>",6 Aralık 2024,145,155m²,3+1,1,4,4,11-15 arası,İkinci El,Kombi (Doğalgaz),30.000  TL  (aylık),200  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4999000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.999.000 TL</strong>",7 Aralık 2024,390,472m²,7+2,3,3,Bahçe katı,11-15 arası,,Kombi (Doğalgaz),,,Boş,Hayır,,,,,,,,,Ankara
"<strong content=""8750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.750.000 TL</strong>",6 Aralık 2024,200,215m²,4+1,3,10-20 arası,11,11-15 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),50  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.850.000 TL</strong>",6 Aralık 2024,115,125m²,3+1,1,4,3,26-30 arası,İkinci El,Kombi (Doğalgaz),,50  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.700.000 TL</strong>",6 Aralık 2024,120,129m²,3+1,1,3,2,16-20 arası,İkinci El,Kombi (Doğalgaz),12.000  TL  (aylık),200  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",6 Aralık 2024,146,164m²,4+1,2,10-20 arası,6,0,Sıfır,Merkezi Sistem,0  TL  (aylık),0  TL  (aylık),Boş,Hayır,,,,,,,2,,Ankara
"<strong content=""4300000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.300.000 TL</strong>",6 Aralık 2024,130,140m²,3+1,1,3,1,31-35 arası,İkinci El,Merkezi Sistem,,1.500  TL  (aylık),Kiracılı,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.650.000 TL</strong>",6 Aralık 2024,115,125m²,3+1,2,8,Yüksek Giriş,21-25 arası,Sıfır,Merkezi Sistem,25.000  TL  (aylık),1.500  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3570000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.570.000 TL</strong>",6 Aralık 2024,100,110m²,2+1,1,3,Giriş Katı,26-30 arası,Sıfır,Kombi (Doğalgaz),25.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.150.000 TL</strong>",6 Aralık 2024,120,130m²,3+1,1,3,3,26-30 arası,İkinci El,Kombi (Doğalgaz),30.000  TL  (aylık),100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4690000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.690.000 TL</strong>",6 Aralık 2024,120,130m²,3+1,1,4,4,31-35 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3050000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.050.000 TL</strong>",6 Aralık 2024,110,120m²,3+1,1,4,Kot 1,,Sıfır,Kombi (Doğalgaz),25.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.000.000 TL</strong>",6 Aralık 2024,140,150m²,4+1,2,8,8,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.250.000 TL</strong>",7 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,3,101784,,Ankara
"<strong content=""7800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.800.000 TL</strong>",6 Aralık 2024,160,180m²,4+1,2,10-20 arası,9,6-10 arası,İkinci El,Merkezi Sistem (Isı Payı Ölçer),39.000  TL  (aylık),1.700  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""1500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.500.000 TL</strong>",7 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,5,29914,,Ankara
"<strong content=""2500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.500.000 TL</strong>",6 Aralık 2024,135,140m²,3+1,2,6,Top Floor,,New Building,Combi Boiler (Natural Gas),,,Vacant,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""7200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.200.000 TL</strong>",7 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,39,116245,,Ankara
"<strong content=""2500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.500.000 TL</strong>",6 Aralık 2024,85,90m²,3+1,1,4,Giriş Katı,11-15 arası,İkinci El,Kombi (Doğalgaz),18.000  TL  (aylık),250  TL  (aylık),Boş,Evet,,,,,,1,27781,Tek Kat,Ankara
"<strong content=""13850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.850.000 TL</strong>",6 Aralık 2024,189,217m²,4+1,3,20 ve üzeri,10,,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""8750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.750.000 TL</strong>",6 Aralık 2024,200,215m²,4+1,3,Between 10-20,13,Between 11-15,Second Hand,Central System (Heat Share Meter),0  TL  (aylık),0  TL  (aylık),Occupied By Property Owner,Yes,,,,,,,,,Ankara
"<strong content=""2790000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.790.000 TL</strong>",5 Aralık 2024,135,148m²,3+1,1,6,6,21-25 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Kiracılı,Hayır,,,,,,,1,,Ankara
"<strong content=""7650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.650.000 TL</strong>",6 Aralık 2024,115,,,,1,Zemin Kat,0,,Kombi (Doğalgaz),55.000  TL  (aylık),2.500  TL  (aylık),Boş,Evet,Kat İrtifakı,,,Kat İrtifakı,Danışman,,,,Ankara
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",6 Aralık 2024,40,43m²,1+1,1,4,2,,Sıfır,Kombi (Doğalgaz),30.000  TL  (aylık),300  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""225000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">225.000 TL</strong>",6 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,6,120436,,Ankara
"<strong content=""25000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">25.000.000 TL</strong>",6 Aralık 2024,,,,,2,,1,,Soba (Kömür),,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""17000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">17.000.000 TL</strong>",5 Aralık 2024,185,225m²,4+1,3,4,4,,Sıfır,Kombi (Doğalgaz),60.000  TL  (aylık),,Boş,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""13000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.000.000 TL</strong>",5 Aralık 2024,165,180m²,4+1,3,4,4,,Sıfır,Kombi (Doğalgaz),55.000  TL  (aylık),,Boş,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""3949000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.949.000 TL</strong>",5 Aralık 2024,130,139m²,3+1,2,2,1,11-15 arası,İkinci El,Kombi (Doğalgaz),,150  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""14000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">14.000.000 TL</strong>",5 Aralık 2024,150,200m²,4+1,2,4,4,,Sıfır,Kombi (Doğalgaz),55.000  TL  (aylık),,Boş,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""3000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.000.000 TL</strong>",5 Aralık 2024,,,,,8,Yüksek Giriş,11-15 arası,,Kombi (Doğalgaz),17.500  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""7000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.000.000 TL</strong>",5 Aralık 2024,80,90m²,2+1,2,4,Giriş Katı,,Sıfır,Kombi (Doğalgaz),30.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.250.000 TL</strong>",5 Aralık 2024,140,160m²,3+1,2,9,9,,Sıfır,Klima,25.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""16600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">16.600.000 TL</strong>",5 Aralık 2024,210,250m²,4+1,2,20 ve üzeri,15,3,Sıfır,Yerden Isıtma,,,,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.750.000 TL</strong>",5 Aralık 2024,80,90m²,2+1,2,4,Giriş Katı,,Sıfır,Kombi (Doğalgaz),30.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.000.000 TL</strong>",5 Aralık 2024,40,45m²,1+1,2,4,Ara Kat,,Sıfır,Kombi (Doğalgaz),35.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""16750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">16.750.000 TL</strong>",7 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",5 Aralık 2024,90,100m²,2+1,1,4,3,Between 31-35,,Combi Boiler (Natural Gas),25.000  TL  (aylık),200  TL  (aylık),Vacant,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""7000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.000.000 TL</strong>",5 Aralık 2024,80,90m²,2+1,2,4,Bahçe katı,,Sıfır,Kombi (Doğalgaz),30.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.100.000 TL</strong>",5 Aralık 2024,95,100m²,3+1,1,4,2,26-30 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),150  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""12770000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.770.000 TL</strong>",7 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""2950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.950.000 TL</strong>",5 Aralık 2024,115,165m²,3+1,1,4,2,11-15 arası,İkinci El,Kombi (Doğalgaz),23.000  TL  (aylık),550  TL  (aylık),,Evet,,,,,,,,,Ankara
"<strong content=""5100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.100.000 TL</strong>",5 Aralık 2024,140,150m²,4+1,1,4,Ara Kat,16-20 arası,,Kombi (Doğalgaz),,,,Evet,,,,,,,,,Ankara
"<strong content=""5990000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.990.000 TL</strong>",5 Aralık 2024,140,150m²,3+1,2,9,5,Between 6-10,Second Hand,Central System (Heat Share Meter),,,Occupied By Tenant,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""3100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.100.000 TL</strong>",5 Aralık 2024,105,115m²,2+1,1,3,3,Between 26-30,Second Hand,Combi Boiler (Natural Gas),20.000  TL  (aylık),300  TL  (aylık),,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""13890000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.890.000 TL</strong>",5 Aralık 2024,320,400m²,6+2,3,3,,11-15 arası,İkinci El,Kombi (Doğalgaz),,1.250  TL  (aylık),Mülk Sahibi,Evet,,,,,,1,111,,Ankara
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",5 Aralık 2024,145,160m²,4+1,2,10-20 arası,3,,,Yok,,,,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2275000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.275.000 TL</strong>",5 Aralık 2024,100,110m²,2+1,1,3,Kot 2,26-30 arası,Sıfır,Kombi (Doğalgaz),20.000  TL  (aylık),100  TL  (aylık),Boş,Evet,,,,,,,,Bahçe Katı,Ankara
"<strong content=""5700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.700.000 TL</strong>",5 Aralık 2024,90,100m²,2+1,2,10-20 arası,4,,Sıfır,Merkezi Sistem,,,Boş,Evet,,,,,,,,,Ankara
"<strong content=""69000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">69.000.000 TL</strong>",7 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""13500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.500.000 TL</strong>",7 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""2650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.650.000 TL</strong>",5 Aralık 2024,100,110m²,3+1,1,3,2,26-30 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),150  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
