Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",16 Aralık 2024,145,160m²,3+1,1,9,4,16-20 arası,,,,1  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""1170000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.170.000 TL</strong>",16 Aralık 2024,175,176m²,2+1,1,1,,31-35 arası,,Soba (Kömür),,,,Hayır,,,,,,,,,Ankara
"<strong content=""2800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.800.000 TL</strong>",16 Aralık 2024,100,110m²,3+1,1,6,Kot 1,5,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,,Ankara
"<strong content=""4600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.600.000 TL</strong>",16 Aralık 2024,60,65m²,1+1,1,20 ve üzeri,20 ve üzeri,1,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,910  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""550000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">550.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",15 Aralık 2024,150,,,,3,Zemin Kat,16-20 arası,,Kombi (Doğalgaz),10.000  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""1600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.600.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">650.000 TL</strong>",16 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,23,128021,,Ankara
"<strong content=""1600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.600.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",15 Aralık 2024,100,110m²,2+1,2,5,1,31-35 arası,,Kombi (Doğalgaz),,600  TL  (aylık),,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.200.000 TL</strong>",15 Aralık 2024,,,,,3,3,31-35 arası,,Kombi (Doğalgaz),35.000  TL  (aylık),500  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""6200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.200.000 TL</strong>",15 Aralık 2024,120,140m²,4+1,1,3,3,31-35 arası,İkinci El,Kombi (Doğalgaz),35.000  TL  (aylık),500  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""11250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.250.000 TL</strong>",15 Aralık 2024,185,264m²,4+1,3,4,4,,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Dubleks,Ankara
"<strong content=""1150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.150.000 TL</strong>",17 Aralık 2024,,,,,,,,,,,,,Evet,,,,,,,,,Ankara
"<strong content=""2090000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.090.000 TL</strong>",15 Aralık 2024,125,135m²,3+1,1,4,2,16-20 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",14 Aralık 2024,85,95m²,3+1,2,2,2,,Sıfır,Kombi (Doğalgaz),27.000  TL  (aylık),,Boş,Evet,,,,,,6,123775,Çatı Dubleksi,Ankara
"<strong content=""950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">950.000 TL</strong>",15 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Ankara
"<strong content=""6900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.900.000 TL</strong>",14 Aralık 2024,117,155m²,2+1,2,6,Bahçe katı,3,İkinci El,Merkezi Sistem (Isı Payı Ölçer),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
